id,name,price,availability
135,Телевизор Samsung QE65QN87AAUXRU,"7 590,00",В наличии
136,Телевизор Samsung QE55QN700AUXRU,"7 990,00",В наличии
137,Телевизор Samsung QE75Q77AAUXRU,"8 490,00",В наличии
138,Телевизор Horizont 50LE7053D,"999,00",В наличии
139,Телевизор Витязь 24LH1103,"499,00",В наличии
140,Телевизор Thomson 32HE5606,"699,00",В наличии
141,Телевизор LG 32LP500B6LA,"999,00",В наличии
142,Телевизор Витязь 32LH1202,"669,00",В наличии
143,Телевизор Витязь 24LH1102,"535,00",В наличии
144,Телевизор Витязь 24LH1105,"599,00",В наличии
145,Телевизор Kivi 43U790LW,"1 549,00",В наличии
146,Телевизор Витязь 32LF1210,"699,00",В наличии
147,Телевизор Kivi 55U740LB,"1 999,00",В наличии
148,Телевизор Samsung UE70AU7100UXRU,"4 490,00",В наличии
149,Телевизор Xiaomi Mi TV P1 50 (L50M6-6ARG) / ELA4688GL,"1 599,00",В наличии
150,Телевизор Harper 43U750TS,"1 079,00",В наличии
151,Телевизор Harper 32R470T,"529,00",В наличии
152,Телевизор LG 43LM5772PLA,"1 499,00",В наличии
153,Телевизор Harper 32R670TS,"572,00",В наличии
154,Телевизор LG 32LM6350,"1 649,00",В наличии
155,Телевизор Thomson T55USM7030 (черный),"2 763,54",В наличии
156,Телевизор LG 32LM577BPLA,"1 269,00",В наличии
157,Телевизор Витязь 24LH0201,"454,00",В наличии
158,Телевизор Витязь 50LU1209,"1 480,46",В наличии
159,Телевизор POLAR P32L34T2C,"528,00",В наличии
160,Телевизор Samsung QE60Q65AAUXRU,"4 490,00",В наличии
161,Телевизор Samsung UE43AU9070UXRU,"2 399,00",В наличии
162,Телевизор Samsung QE55Q77AAUXRU,"4 290,00",В наличии
163,Телевизор POLAR P50L21T2SCSM,"1 428,00",В наличии
164,Телевизор LG 70UQ80006LB,"4 919,00",В наличии
165,Телевизор Harper 43F660T,"934,93",В наличии
166,Телевизор POLAR P32L23T2C,"569,00",В наличии
167,Телевизор POLAR P32L25T2C,"593,00",В наличии
168,Телевизор POLAR P24L23T2C,"514,00",В наличии
169,Телевизор POLAR P50L22T2SCSM,"1 452,00",В наличии
170,Телевизор Sony KD-65X81J,"4 970,69",В наличии
171,Телевизор Samsung UE70AU7570UXRU,"4 390,00",В наличии
172,Телевизор LG 43UQ76003LD,"2 107,99",В наличии
173,Телевизор LG 43NANO756QA,"2 489,00",В наличии
174,Телевизор POLAR Line 24PL12TC,"529,00",В наличии
175,Телевизор POLAR P43L32T2CSM,"1 156,00",В наличии
176,Телевизор Samsung QE55QN87AAUXRU,"5 590,00",В наличии
177,Телевизор Harper 32R720T,"625,00",В наличии
178,Телевизор POLAR Line 32PL51TC,"599,00",В наличии
179,Телевизор Harper 50U750TS,"1 425,83",В наличии
180,Телевизор LG 43UQ76009LC,"2 199,00",В наличии
181,Телевизор LG 50UQ80006LB,"2 229,00",В наличии
182,Телевизор LG 43NANO776QA,"2 399,00",В наличии
183,Телевизор Samsung QE75Q60ABUXRU,"6 990,00",В наличии
184,Телевизор Sony KD-75X81J,"6 599,00",В наличии
185,Телевизор Samsung UE85AU8000UXRU,"8 990,00",В наличии
186,Телевизор Sony KD-85X85TJ,"13 011,94",В наличии
187,Телевизор Sony XR-65A80J,"13 107,02",В наличии
188,Телевизор Artel 32AH90G (черный/серебристый),"445,00",В наличии
189,Телевизор Fox 32DTV220C,"498,42",В наличии
190,Телевизор Harper 32R670T,"499,00",В наличии
191,Телевизор Telefunken TF-LED32S09T2,"512,34",В наличии
192,Телевизор Telefunken TF-LED32S77T2,"512,34",В наличии
193,Телевизор Telefunken TF-LED32S49T2S,"585,08",В наличии
194,Телевизор Harper 24R490T,"599,00",В наличии
195,Телевизор Telefunken TF-LED32S12T2S,"600,89",В наличии
196,Телевизор TCL 32S6200,"765,00",В наличии
197,Телевизор SkyLine 40LST5970,"818,14",В наличии
198,Телевизор Telefunken TF-LED40S85T2S,"951,50",В наличии
199,Телевизор SkyLine 43LT5900,"967,74",В наличии
200,Телевизор Fox 50AOS400C,"1 199,00",В наличии
201,Телевизор LG 43UQ81009LC,"2 199,00",В наличии
202,Телевизор LG 43UQ90006LD,"2 371,85",В наличии
203,Телевизор LG 50UQ81009LC,"2 606,23",В наличии
204,Телевизор LG 50NANO766PA,"2 709,00",В наличии
205,Телевизор Avel Smart AVS240WS (белый),"2 764,00","Под заказ, ≈ 10 дней"
206,Телевизор Avel Smart AVS240KS (черный),"2 934,00","Под заказ, ≈ 10 дней"
207,Телевизор Avel Smart AVS240KS (белый),"2 987,00","Под заказ, ≈ 10 дней"
208,Телевизор LG 55UQ81009LC,"3 131,99",В наличии
209,Телевизор Avel Smart AVS240KS (Magic Mirror),"3 605,00","Под заказ, ≈ 10 дней"
210,Телевизор LG 43LT340C,"3 799,00",В наличии
211,Телевизор LG 55UT640S,"5 758,08",В наличии
212,Телевизор Samsung QE65LS01TBUXRU,"6 490,00",В наличии
213,Телевизор Sony KD-75X85TJ,"9 016,94",В наличии
214,Телевизор Samsung QE75LS03AAUXRU,"9 990,00",В наличии
215,Телевизор Samsung QE75QN700AUXRU,"14 990,00",В наличии
216,Телевизор Samsung QE65QN900AUXRU,"19 990,00",В наличии
217,Телевизор Artel 32AH90G (черный),"447,45",В наличии
218,Телевизор Samsung UE65BU8000UXRU,"3 857,57","Под заказ, ≈ 12 дней"
219,Телевизор JVC LT-32MU108,,Только уценка
220,Телевизор LG 24TN520S-PZ,,Только уценка
221,Телевизор Horizont 22LE5511D (черный),,Только уценка
